name,city,address,verdict,confidence,source_url,note
L'Univers des Cartes,Chateauguay,"75 Bd Saint-Jean-Baptiste Suite 130, Chateauguay, QC J6J 3H6",INCLUDE,high,luniversdescartes.com,"Confirmed: 'specializes in sales of collection cards including Pokemon, Magic, hockey, football and more.' The site's own title tag includes 'cartes hockey.' Genuinely missing from the directory."
Cartes Sportives Temple De La Renomee,Dollard-Des Ormeaux,"4067 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9G 2R4",DUPLICATE,high,"Yelp, Yellow Pages, Facebook (Sport Cards Hall Of Fame)","DO NOT PASTE -- same business as the ""Sport Cards Hall Of Fame"" row in this same file (flagged 2026-09-04 by the orchestrator, overriding this row's original INCLUDE). Identical address, 4067 Boul. Saint-Jean, and this row's own source column cites the OTHER row's Facebook page. ""Temple de la Renommee"" is simply the French for ""Hall of Fame"". Pasting both would put one shop in the directory twice. Paste the English row only -- but if the shop's own signage is French, swap the name onto that row rather than adding this one. This is the French name for 'Sport Cards Hall Of Fame' at the same address (row below) -- same business, bilingual naming. Only add once; see the English-name row for the verdict and evidence. Do not paste both."
Sport Cards Hall Of Fame,Dollard-Des Ormeaux,"4067 Boul. Saint-Jean, Dollard-des-Ormeaux, QC H9G 2R4",INCLUDE,high,Yelp (yelp.ca/biz/sport-cards-hall-of-fame-dollard-des-ormeaux),"Also trades as ""Cartes Sportives Temple de la Renommee"" -- that row in this file is the SAME shop and is marked DUPLICATE. Add this one only. Confirmed real hobby store: 'sports cards, sports memorabilia, trading card games, board games.' Genuinely missing from the directory -- a different physical location from the already-listed 'Collector's Avenue Montreal' at 5155 Boul Decarie. Same business as 'Cartes Sportives Temple De La Renomee' above; paste only one row for this address."
Passe-Temps Adrenaline inc.,Drummondville,"211 Rue Heriot, Drummondville, QC J2C 1J9",EXCLUDE,high,sded.ca (local economic development profile); opengovca.com corporate registry,Confirmed real business (also registered as 'Adrenaline Hobby inc.') but sells new/used remote-control vehicles and RC accessories. No card evidence found anywhere.
Boutique FDB,Gatineau,"28 Bd du Mont-Bleu Unite 102A, Gatineau, QC J8Z 1J1",EXCLUDE,high,boutiquefdb.com,Confirmed tabletop miniatures (Warhammer) and Magic the Gathering store. Explicitly focused on 'gaming cards and miniatures rather than traditional sports trading cards.'
L'As des jeux,Gatineau,"325 Bd Greber, Gatineau, QC J8T 5R3",EXCLUDE,high,asdesjeux.com,Confirmed board games / puzzles / Magic the Gathering / comics store. No sports cards.
Distribution Diecast64,Granby,"39 Rue Evangeline Local 3, Granby, QC J2G 6N4",EXCLUDE,high,distributiondiecast64.com,Confirmed diecast model-car and collectibles store. No trading cards of any kind -- directory miscategorisation.
Maitre De Jeu,Granby,"14 Rue Saint-Joseph, Granby, QC J2G 6T6",EXCLUDE,high,maitredejeu.com; Yelp 4.77/5 (222 reviews),"Confirmed board games / toys / Magic / Pokemon store (Lego, Ravensburger, Schleich). No sports cards."
Always Games - Hobby & Coffee Shop,Laval,"1296 Bd du Cure-Labelle, Laval, QC H7V 2V9",EXCLUDE,high,multiple independent directory listings,Confirmed a board-game cafe (pay-to-play + coffee/snacks). No card sales of any kind mentioned.
Geekstuff,Laval,"5220 Boulevard des Laurentides, Laval, QC H7K 2J8",INCLUDE,high,geekstuffstore.com (via search); Chamber of Commerce listing,"Confirmed: 'comic books, trading cards, sports cards, figurines and supplies,' founded 2017. Genuinely missing from the directory."
Passion Diecast,Laval,"427 Blvd. Saint-Martin O, Laval, QC H7M 1Y8",EXCLUDE,high,passiondiecast.com (via search),"Confirmed 'Quebec's largest' diecast model store -- cars, planes, model kits. No trading cards of any kind."
Card Caster: Cartes a Collectionner,Mirabel,"9291 Boulevard de St Canut, Mirabel, QC J7N 1N4",HOLD,low,cardcastergames.com; nearmetcg.com,"Second location of the Blainville Card Caster chain (already recommended INCLUDE above on the strength of its Upper Deck Hockey line), but no sports-card-specific evidence was found for this St-Canut location specifically -- search results here mention only Pokemon/Magic/Yu-Gi-Oh/One Piece/Lorcana. Worth checking in person or by phone before including, since the chain's product mix may vary by store."
Carta Magica Montreal,Montreal,"6360 Rue St-Hubert, Montreal, QC H2S 2M2",EXCLUDE,high,cartamagica.com,"Confirmed collectible card games / miniatures / RPG / board games store, operating 25+ years. No sports cards mentioned."
Electric Avenue Montreal,Montreal,"6054 Monkland Ave, Montreal, QC H4A 1H2",INCLUDE,high,electricavenuemtl.com -- 'Monkland's Top Spot for Card Collectors',Confirmed: 'thousands of cards... huge selection of sports and non-sports cards... current and vintage trading cards including graded cards (slabs).' Genuinely missing from the directory.
Enchanted Cards and Collectibles,Montreal,"6888a Victoria Ave, Montreal, QC H3W 2T4",EXCLUDE,high,enchantedcards.ca,Confirmed 'one-stop shop for collectables and trading card needs' -- but the named games are Lorcana/Magic/Pokemon/Yu-Gi-Oh/One Piece only. No sports cards.
Game Keeper Lajeunesse - Jeux et Passe-temps,Montreal,"10810 Rue Lajeunesse, Montreal, QC H3L 2E8",EXCLUDE,high,gamekeeper.ca,A second location of the chain that also runs the already-listed 'Game Keeper Verdun.' Confirmed Magic/Yu-Gi-Oh/Pokemon TCG only -- no sports cards found for this location.
Gobelin D'Argent,Montreal,"#216, 372 Saint-Catherine St W, Montreal, QC H3B 1A4",EXCLUDE,high,silvergoblin.cards,"Confirmed 'Silver Goblin' -- Pokemon/Magic/Flesh and Blood CCG store, notable board-game selection. No sports cards."
L'Expedition,Montreal,"6571 Rue St-Hubert, Montreal, QC H2S 2M5",EXCLUDE,high,Plaza Saint-Hubert merchant directory; Wizards store locator,Confirmed Magic/Pokemon/Yu-Gi-Oh gaming-room store. No sports cards.
Other World Games,Montreal,"1839 Saint-Catherine St W, Montreal, QC H3H 1M2",EXCLUDE,high,Wizards store locator ('Capitaine Quebec - Other World Games'),Confirmed anime/manga/TCG hobby store with weekly TCG nights. No sports cards.
Three Kings Loot inc,Montreal,"5175 C Sherbrooke St W, Montreal, QC H4A 3K8",EXCLUDE,high,threekingsloot.com/about_us,"Confirmed Magic the Gathering specialist, founded by two collectors trading excess MTG cards. No sports cards."
Bluenose Collectibles,Pointe-Claire,"313 Boul. Saint-Jean, Pointe-Claire, QC H9R 3J2",ALREADY-LISTED,high,globalnews.ca profile; bluenosecollectibles.com; src/data/stores.json ('Les Entreprises Bluenose'),"Same business (Bluenose, 50+ years in Montreal collectibles, confirmed extensive baseball/basketball/football/hockey/soccer card inventory) as the already-listed 'Les Entreprises Bluenose' on the same boulevard in the same city -- almost certainly a minor address/unit discrepancy, not a second shop. Worth a one-line address correction in the existing row rather than a new listing."
Le Coin Du Hobby,Saint-Eustache,"455 Av. Mathers, Saint-Eustache, QC J7P 4C1",INCLUDE,high,mathers.ca merchant directory ('Le Coin du Hobby'),"Confirmed: 'specializes in selling sports cards, Pokemon cards.' A distinct vendor kiosk inside the Marche aux Puces St-Eustache flea market, different from the already-listed 'Les Cartes Sportives M.C.' kiosk at the same building. Genuinely missing."
Les Thematiques,Saint-Eustache,"455 Av. Mathers, Saint-Eustache, QC J7P 4C1",EXCLUDE,high,mathers.ca merchant directory ('Les Thematiques'),Confirmed a Funko Pop / Lego figurine vendor at the same flea market. No cards of any kind.
Maitre des Jeux (Le),Saint-Eustache,"433 Bd Arthur-Sauve, Saint-Eustache, QC J7P 2B3",INCLUDE,high,maitredesjeux.net (via search); Yelp,"Confirmed: 'gift items, toys, comic books, sports cards, and collectibles.' A different business from 'Maitre De Jeu' in Granby (TCG-only, excluded above) despite the similar name. Genuinely missing from the directory."
Top Collectibles,Saint-Jerome,"770 Rue de Martigny O, Saint-Jerome, QC J5L 1Z6",UNVERIFIED,low,no independent source found under this name,"Could not find this business anywhere online under this name or address -- search surfaced only an unrelated Saint-Jerome card shop (Boutique La Coupe Stanley, different address). May be closed, renamed, or the original listing may be mis-attributed. Needs a human check before any action."
Le Roi des Cartes Valleyfield,Salaberry-de-Valleyfield,"1175 Bd Monseigneur-Langlois, Salaberry-de-Valleyfield, QC J6S 1C1",INCLUDE,high,leroidescartesvalley.com; boardgameoracle.com,"Confirmed sister store of the already-verified Beloeil 'Le Roi des Cartes' location -- 'buy sports cards (such as hockey, baseball and basketball)' explicitly stated. Genuinely missing from the directory."
Boutique Imaginaire de Sherbrooke,Sherbrooke,"3050 boulevard de Portland, Carrefour de l'Estrie, Sherbrooke, QC J1L 1K1",ALREADY-LISTED,high,src/data/stores.json,"Same mall (Carrefour de l'Estrie) and address as the already-listed 'L'Imaginaire Sherbrooke.' Same chain, not a second shop."
AGS Collectibles,Terrebonne,"575 Rue Paul-VI, Terrebonne, QC J6W 1V9",HOLD,low,agscollectibles.com,"Confirmed real (antiques/vintage/Star Wars/trading cards dealer since 2016), but the site's own description doesn't specify sports cards vs. other trading cards -- and it reads more like an online/antiques dealer than a walk-in card shop. Worth a direct look at their card inventory before deciding."
Boutique Imaginaire,Trois-Rivieres,"4225 Bd des Forges, Trois-Rivieres, QC G8Y 1W2",ALREADY-LISTED,high,src/data/stores.json,"Exact address and postal code match to the already-listed 'L'Imaginaire Trois-Rivieres.' Same chain, not a second shop."
Joubec Val-d'Or,Val-d'Or,"670 3e Avenue, Val-d'Or, QC J9P 1S5",EXCLUDE,high,joubec.com,"Confirmed toy/game regional chain (also in Rouyn-Noranda, Amos, Montreal). Card offering is 'Magic the Gathering and collectible card games' -- TCG, not sports cards."
Orthanc La Forteresse,Victoriaville,"26A Notre-Dame St E, Victoriaville, QC G6P 3Z5",EXCLUDE,high,orthanclaforteresse.com,Confirmed Magic/Yu-Gi-Oh/Warhammer/medieval-hobby store. No sports cards.
