name,city,province,website,verdict,confidence,source_url,note
Hall Of Fame Collection,Burlington,ON,http://racinghalloffamecollection.com/,EVIDENCE-FOUND,high,site fetched live (redirects to hofcollection.com),"Confirmed motorsport memorabilia dealer selling ""2024 TOPPS CHROME FORMULA 1"" autographed trading cards alongside racing suits, helmets and model cars. Note: this is motorsport/F1 cards specifically, not the traditional hockey/baseball/basketball/football lineup -- worth a human judgment call on whether F1 cards fit this directory's scope, but it is real trading-card evidence, not zero evidence."
Forbes Hobbies,Cambridge,ON,https://www.forbeshobbies.ca,STILL-UNVERIFIED,low,"site fetched live -- ""Launching Soon"" placeholder",Site is a pre-launch placeholder with no product information. Cannot confirm anything; may not be trading yet. Needs a human check closer to launch.
Nepal Handicrafts,Greater Sudbury,ON,http://www.nepalhandicraftsontario.com/,CONFIRMED-NO-EVIDENCE,high,"web search (Yelp, Sudbury.com directory, Groupon)","Confirmed authentic Nepalese handicrafts store -- textiles, wood carvings, jewelry, home decor. No card evidence anywhere; looks like a directory miscategorisation worth a human look."
Valixya,Greater Sudbury,ON,https://valixya.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,"Confirmed a metaphysical/spiritual shop -- crystals, incense, tarot readings, spell kits. Explicitly no trading cards. Directory miscategorisation worth a human look."
Brodie's Gaming,Guelph,ON,http://brodiesgaming.ca/,STILL-UNVERIFIED,low,site fetched live,"Site calls itself ""Guelph's go to retro video game destination"" and mentions being a ""PSA grading drop off location."" Per this project's own established rule, PSA/grading mentions are NOT sports-card evidence on their own (PSA grades Pokemon constantly) -- so this does not confirm sports cards. Needs a human check of what's actually in the PSA drop-off traffic."
Royal Cat Records,Guelph,ON,http://royalcatrecords.blogspot.ca/,CONFIRMED-NO-EVIDENCE,high,"web search (Downtown Guelph, Guelph Today, Foursquare)","Confirmed a vinyl record shop (""Guelph's tiniest record shop""). No card evidence anywhere. Directory miscategorisation worth a human look."
The Bookshelf,Guelph,ON,https://bookshelf.ca/,CONFIRMED-NO-EVIDENCE,high,"web search (Guelph Today, IndieBookstores, Yelp)",Confirmed an independent bookstore / cinema / restaurant / bar since 1973. No card evidence anywhere. Directory miscategorisation worth a human look.
Never Board Games Lounge,Hamilton,ON,https://neverboardgames.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,"Confirmed a board-game cafe (""more board games than you can shake a fist full of meeples at"") plus digital game rentals and food/drink. No card mention."
Chumleighs,Kingston,ON,http://www.chumleighs.com/,CONFIRMED-NO-EVIDENCE,medium,site fetched live,"Confirmed ""quality used video games, movies, music and more"" -- no card mention on the site."
The Rocking Horse Toys,Kingston,ON,http://www.therockinghorse.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (Downtown Kingston, Yelp)","Confirmed a classic/retro toy store (wooden toys, stuffed animals, board games) since 2001. No trading-card mention found anywhere."
Tom Tech Repairs & Game Vault Kingston,Kingston,ON,https://games.tomtechrepairs.ca/,STILL-UNVERIFIED,low,"site fetched live, content too generic","Site only describes ""Retro & Modern Games - All in One Vault"" plus repair services. Doesn't itemize whether cards are part of the inventory. Needs a human check."
Cellular Magician,London,ON,https://www.cellularmagician.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,Confirmed a phone/tablet/computer repair and resale shop. No card mention anywhere -- clear miscategorisation.
Game Cycle Hamilton Road,London,ON,http://www.gamecycle.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live (redirects to gclw.ca),Confirmed used video games/consoles/movies buy-sell-trade shop. No card mention anywhere.
Game Cycle London Wharncliffe,London,ON,http://www.gclw.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,"Same chain and evidence as the Hamilton Road location above -- video games only, no cards."
Hi-Times (Head Shop + Indoor Growing Equipment +Indoor Grow Shop Hydroponics,London,ON,http://hitimes.ca/,CONFIRMED-NO-EVIDENCE,high,"web search (Facebook, BudTray, business directories)",Confirmed a cannabis head shop / hydroponics store. No card evidence anywhere -- clear directory miscategorisation.
Pokanada (Sealed Pokemon section inside pharmacy),London,ON,http://www.pokanada.ca/,CONFIRMED-NO-EVIDENCE,medium,web search,"Confirmed a dedicated Pokemon card operation (""Pokanada Mystery Packs - Pokemon Card Collection"") -- real cards, but Pokemon/TCG only, no sports-card evidence found."
Seven Sisters Ritual Apothecary,London,ON,http://sevensisters.ca/,CONFIRMED-NO-EVIDENCE,high,"web search (London Tourism, Downtown London directory, own site)","Confirmed a metaphysical/witchcraft shop selling tarot cards, herbs, crystals and ritual tools -- tarot is not a trading/sports card. Clear directory miscategorisation."
Warhammer,London,ON,https://www.warhammer.com/,CONFIRMED-NO-EVIDENCE,high,"corporate brand site (same evidence pattern confirmed for the Red Deer, AB location of the same chain)","A branded Games Workshop miniatures store -- definitionally sells only Warhammer/Age of Sigmar miniatures worldwide, never sports cards."
Advance RC & Hobbies,Markham,ON,https://advancerc.ca/,CONFIRMED-NO-EVIDENCE,high,site fetched live,Confirmed RC vehicles and static scale-model kits only. No card evidence.
Horizon Diecast,Markham,ON,https://horizondiecast.com/,STILL-UNVERIFIED,low,site fetched live,"Primarily a diecast model-car retailer, but does carry a small line of racing-themed ""Tarmac Works"" cards -- a card-adjacent product, but not sports cards in the traditional sense (hockey/baseball/basketball/football). Flagging rather than confirming either way."
Addictive Hobbies & Games,Oshawa,ON,https://addictivehobbies.wixsite.com/website,CONFIRMED-NO-EVIDENCE,medium,site fetched live,"Confirmed a tabletop-miniatures store (Games Workshop, Paizo, Army Painter). No card mention."
"Fly By Nite Movies, Games, and Toys",Oshawa,ON,https://flybynitecollectibles.square.site/,CONFIRMED-NO-EVIDENCE,medium,"web search (INdurham news profiles, Chamber of Commerce)",Confirmed a horror/anime/Funko/retro-video-game/movie shop since 2017. No card mention found anywhere.
GNU Books,Oshawa,ON,http://www.gnubooks.net/,EVIDENCE-FOUND,high,site fetched live,"Strong real evidence the scan missed entirely: site's own navigation lists ""TRADING CARDS"" with ""HOCKEY CARDS"" and ""BASEBALL CARDS"" subcategories, and the homepage sells specific hockey card products (e.g., ""2023 UPPER DECK HOCKEY EXTENDED HOBBY,"" $120). This is exactly the kind of listing the publishing standard exists to protect -- a real sports-card retailer that looks, from its name alone, like a used bookstore. Keep listed with confidence."
The 3D Shoppe,Oshawa,ON,http://the3dshoppe.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (Yelp, Downtowns of Durham)","Confirmed a 3D-printing and tabletop-gaming space (D&D, MTG, Lorcana, Battletech, Warhammer). No sports-card evidence -- TCG only."
Worlds Collide,Oshawa,ON,http://www.worldscollide.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (Yelp, MTG Durham, own site)","Confirmed a comic/MTG/D&D/board-game store since 1982. ""Trading Card Games"" is a listed service, but no sports-card evidence found -- this is the collectible-card-game sense of the term, not sports cards."
Kollect This Inc.,Peterborough,ON,https://www.kollectthis.com,CONFIRMED-NO-EVIDENCE,medium,"web search (Yelp, Canpages, Facebook Marketplace)","Confirmed ""Peterborough's #1 Trading Card Shop"" -- but explicitly Pokemon/Yu-Gi-Oh/Magic/Disney Lorcana focused, 6,000+ SKUs. No sports-card evidence found."
High Score Gamez,St. Catharines,ON,https://highscoregamez.crystalcommerce.com/,CONFIRMED-NO-EVIDENCE,medium,"web search (Shop St. Catharines, own site)","Confirmed a video game and trading card store, but the only cards mentioned are ""PSA, Beckett, & CGC Graded Pokemon Cards."" Per this project's own rule, graded-card/PSA mentions aren't sports evidence on their own, and no sports cards are otherwise mentioned."
CanGeek Games and Collectibles,Toronto,ON,http://www.cangeek.com/,STILL-UNVERIFIED,low,"web search (Yelp, Facebook, YouTube)","Confirmed real (a home-based tabletop-games-and-collectibles business at The Merchants Flea Market, Scarborough, since 2015), but nothing found confirms or rules out sports cards specifically. Needs a human check."
Illusionary,Toronto,ON,http://www.illusionarycollectibles.com/,CONFIRMED-NO-EVIDENCE,high,site fetched live,Confirmed Magic/One Piece/Yu-Gi-Oh/Star Wars Unlimited/Weiss Schwarz TCG store plus Funko/Gundam/manga. No sports-card evidence.
Xplore Games,Toronto,ON,http://xploregames.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (own site, Wizards store locator)","Confirmed a strategy/party/family board-game store that also carries ""trading cards"" generically -- but nothing sports-specific found; the described inventory (strategy games, puzzles) points to TCG, not sports cards."
Toybox Trading Co.,Vaughan,ON,http://toyboxtradingco.square.site/,CONFIRMED-NO-EVIDENCE,medium,"web search (Facebook, Instagram, eBay store)","Confirmed a vintage-toy and card dealer that explicitly ""specialize[s] in Pokemon"" -- graded singles and sealed product. No sports-card evidence found."
Digital Oasis,Windsor,ON,http://www.digitaloasis.ca/,CONFIRMED-NO-EVIDENCE,medium,"web search (Yellow Pages, Chamber of Commerce, Tourism Windsor Essex)","Confirmed a pre-owned video game / console / accessories shop, 8+ years in business. No card mention anywhere."
Putali Chowk Board Games & Bar,Windsor,ON,http://www.putalichowk.com/,CONFIRMED-NO-EVIDENCE,high,site fetched live,Confirmed a board-game lounge and Nepali/Indian street-food restaurant/bar. No card mention -- clear directory miscategorisation.
Univers Fantastique,Beloeil,QC,http://www.universfantastique.co/,CONFIRMED-NO-EVIDENCE,medium,"web search (fabtcg.com store locator, Chamber of Commerce, PagesJaunes) -- site itself no longer resolves (DNS failure)","Confirmed a manga/comics/tabletop-games store carrying ""cards"" generically, but every independent source describes it as a comic/tabletop shop with no sports-card mention. Its own domain no longer resolves, which is itself worth flagging -- may have closed or rebranded."
Les Entreprises Bluenose,Pointe-Claire,QC,https://bluenosecollect.com/,EVIDENCE-FOUND,high,globalnews.ca profile; bluenosecollectibles.com,"Strong real evidence the scan missed: independently confirmed 50+ year Montreal-area collectibles institution with an explicit sports-card inventory spanning ""baseball, basketball, football, hockey, and soccer."" Keep listed with high confidence -- see also the QC candidates list, where a likely-duplicate listing under ""Bluenose Collectibles"" at a slightly different street number on the same boulevard was also found."
418 Sports,Quebec (Charlesbourg),QC,https://marchejeantalon.com/boutique/418-sport/,EVIDENCE-FOUND,high,"web search (own boutique page, Marche Jean-Talon Facebook)","Strong real evidence the scan missed, despite the business's own name announcing it: confirmed to specialize in ""Hockey, Football, Basketball, Baseball, Pokemon, Figurines."" Keep listed with high confidence."
The Nut Man (Cards & Collectables),Regina,SK,https://www.nutmanregina.com/,EVIDENCE-FOUND,high,"web search (own site, 980 CJME / 650 CKOM local radio news, National Hockey Card Day coverage)","Strong real evidence the scan missed: a Regina institution since 1983, confirmed to sell sports cards and host card shows (""The Card Man -- Last Rip of Summer Card Show""), and tied to Saskatchewan's National Hockey Card Day coverage. Keep listed with high confidence."
Skies the Limit Fireworks & Toys,Yorkton,SK,https://www.skiesthelimittoys.ca,EVIDENCE-FOUND,high,"web search (SaskToday.ca local news article ""Card collectors gather at Skies the Limit"")","Real evidence the scan missed: a local news profile documents the owner organizing hockey-card trade days for kids at the store. Primary business is fireworks/toys/Warhammer, but the hockey-card community activity is real and documented. Keep listed with confidence."
