name,city,address,phone,website,tier,verdict,confidence,source_url,note
Vaulted YYC Crossroads,Calgary,"1235 26 Ave SE, Calgary, AB T2G 1R7",(403) 474-4445,https://vaultedyyc.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
"Cards and Collectibles, YK",Castor,"4220 49 Ave, Castor, AB T0C 0X0",,https://cardsandcollectibles.company.site/,A,UNVERIFIED,low,site returned 'not available'; web search found no independent mention,Website is dead and no second source could be found anywhere online. Only source is the original competitor-listing scrape. Needs a phone call or in-person check before this goes anywhere near the sheet.
Puck it Cards & Collectibles,Didsbury,"7 Co-Op Rd, Didsbury, AB T0M 0W0",+1 587-436-8166,https://linktr.ee/puckitcards,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
Foil City Cards,Edmonton,"7810 Gateway Blvd NW, Edmonton, AB T6E 6C3",(825) 402-6528,https://www.foilcitycards.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
HPW Cards Inc.,Edmonton,"10553 Kingsway NW, Edmonton, AB T5H 4K1",(587) 785-8885,https://www.hpwcards.com/,A,ALREADY-LISTED,high,src/data/stores.json,Exact name + address match already in the directory.
Hobby Wholesale,Edmonton,"6136 Gateway Blvd NW, Edmonton, AB T6H 2H8",(877) 363-3648,http://www.hobbywholesale.com/,A,EXCLUDE,high,http://www.hobbywholesale.com/ (fetched live),Confirmed RC vehicles / model trains / plastic models / puzzles retailer. No sports cards anywhere on the site. Was mis-tiered 'explicit card signal' by the original pass -- it is not a card shop.
Imagine+ Toys and Collectibles,Edmonton,"8882 170 St NW Unit 1003, Edmonton, AB T5T 4J2",+1 780-705-7587,https://www.facebook.com/imagineplusAB?,A,UNVERIFIED,low,Facebook only,Facebook-hosted business page cannot be independently verified (documented login wall). Real West Edmonton Mall address given but no confirmable card evidence.
Big Sky Game and Hobby,Lac la Biche,"10210 101 Ave, Lac la Biche, AB T0A 2C0",+1 780-623-4580,,A,UNVERIFIED,low,Facebook page + myshopify storefront (404) confirm the business exists,"Business confirmed real (Facebook page, a Shopify storefront under the same name), but the Shopify store 404'd and no page states it carries sports cards specifically -- 'Big Sky Sports Cards' is a same-named but unrelated business in Kalispell, Montana, do not confuse them."
Kash In Collectibles Inc.,Peace River,"10122 100 St Unit 7, Peace River, AB T8S 1S8",+1 780-625-2617,,A,UNVERIFIED,low,no independent source found anywhere online,"No website, no Facebook, no directory listing found beyond the original competitor scrape. Real address and phone number given but nothing to corroborate with. Needs a phone call."
Hobby Hub,Red Deer,"5301 43 St #114, Red Deer, AB T4N 1C8",+1 403-588-5589,https://hobbyhub.ca/,A,EXCLUDE,high,https://hobbyhub.ca/ (fetched live),"Confirmed RC vehicles / drones / model rockets / plastic model kits retailer, real brick-and-mortar store. No sports cards anywhere on site. Mis-tiered by the original pass."
Brick Road Collectibles,Rocky Mountain House,"4911 50 St, Rocky Mountain House, AB T4T 1E5",+1 403-871-5054,https://brickroad.ca/,A,HOLD,low,"https://brickroad.ca/ (fetched live, thin content)","Site loaded and confirms a real walk-in store at this address, but the page content pulled back said nothing about what it actually sells -- no sports-card mention, but also no product list to rule it out. Worth a second, deeper look at the site (or a call) before deciding."
Mythic Comics & Collectibles,Sherwood Park,"2008C Sherwood Dr, Sherwood Park, AB T8A 0Z1",+1 780-570-1872,https://www.facebook.com/MythicComicsShpk/,A,UNVERIFIED,low,Facebook only,"Facebook-only presence, cannot independently verify."
Sunshine Game & Hobby,St. Paul,"5105 50 Ave, St. Paul, AB T0A 3A0",+1 780-645-5353,,A,HOLD,medium,"Yelp, Lakeland News business directory, hobbynext.ca (independent listings, not fetched by scraper)","Real, well-established business -- confirmed independently on Yelp and a local community directory, described as selling 'collectible cards & games.' That phrase doesn't specify sports vs. TCG. Worth one more check (call or Facebook photos) before including."
Bento Gaming,Balzac,"260300 Writing Creek Cres Unit F6, Balzac, AB T4A 0X8",(825) 415-5645,https://www.bentogaming.com/,B,EXCLUDE,high,https://www.bentogaming.com/ (fetched live),"Confirmed 'Canada's Source for TCG, Gashapon and Gunpla kits' -- Pokemon/Magic/Digimon/One Piece/Gundam only. No sports cards."
The Realm Games and Toys,Balzac,"Box 370, 260300 Writing Creek Cres Unit #H10, Balzac, AB T4A 0X8",(587) 377-3256,https://www.realmgamesandtoys.com/,B,EXCLUDE,high,http://realmgamesandtoys.com/ (fetched live),Confirmed Magic/Pokemon/Yu-Gi-Oh TCG and gaming-merchandise store. No sports cards.
Imaginary Wars Gaming and Hobbies Ltd.,Calgary,"10233 Elbow Dr SW Unit #135, Calgary, AB T2W 0S1",(587) 351-1939,https://www.facebook.com/imaginarywars,B,UNVERIFIED,low,Facebook only,"Facebook-only presence, cannot independently verify."
Ogre's Den Gaming Club,Calgary,"3220 5 Ave NE, Calgary, AB T2A 6M6",(403) 273-0037,http://www.ogresden.ca/,B,EXCLUDE,high,http://www.ogresden.ca/ (fetched live),Confirmed Magic: The Gathering / Warhammer / D&D tabletop gaming club. No sports cards.
Phoenix Comics NW,Calgary,"1010 16 Ave NW, Calgary, AB T2M 0K5",(403) 220-1399,http://www.phoenixcomics.ca/,B,EXCLUDE,high,http://www.phoenixcomics.ca/ (fetched live),Confirmed comics/manga/Magic: The Gathering store. No sports cards mentioned in product categories.
Screen Free Games Calgary,Calgary,"Sunridge Mall, 2525 36 St NE Unit 258, Calgary, AB T1Y 5T4",(403) 453-7340,https://screenfreegames.com/,B,INCLUDE,high,https://screenfreegames.com/ (fetched live),Confirmed dedicated 'Sports Cards' navigation category with a Hockey subsection. Real card-selling evidence found -- genuinely missing from the directory.
Under The Mountain Games,Calgary,"3630 Brentwood Rd NW #313b, Calgary, AB T2L 1K8",(403) 463-8185,https://underthemountain.games/,B,EXCLUDE,high,https://underthemountain.games/ (fetched live),Confirmed Magic: The Gathering / Games Workshop / Pokemon TCG / RPG store. No sports cards.
Authentic Dungeons,Edmonton,"10041 166 St NW, Edmonton, AB T5P 4Y1",(587) 200-3070,http://authenticdungeons.com/,B,EXCLUDE,high,http://authenticdungeons.com/ (fetched live),Confirmed RPG/wargame/LARP supplies store with a TCG section. No sports cards.
Cerberus Gaming Corp.,Edmonton,"9024 51 Ave NW, Edmonton, AB T6E 5X4",(780) 249-3294,https://cerberusgamingcorp.com/,B,EXCLUDE,high,https://cerberusgamingcorp.com/ (fetched live),Confirmed Magic/Pokemon/Vanguard TCG-only retailer. No sports cards.
Gamer's Den,Edmonton,"11610 119 St NW, Edmonton, AB T5G 2X7",(780) 760-4263,http://gamersden.ca/,B,EXCLUDE,high,http://gamersden.ca/ (fetched live),Confirmed board games / TCG / miniatures store. No sports cards.
Games Workshop,Edmonton,"109 Princess Elizabeth Ave NW Unit 738, Edmonton, AB T5G 3A6",+1 587-442-3189,https://www.warhammer.com/,B,EXCLUDE,high,corporate warhammer.com brand site,This is a branded Games Workshop miniatures store -- sells only Warhammer/Age of Sigmar miniatures and paints. Definitionally not a sports card shop.
Hard Brick Games,Edmonton,"9126 51 Ave NW, Edmonton, AB T6E 5L8",(587) 402-3161,https://hardbrickgames.com/,B,EXCLUDE,high,https://hardbrickgames.com/ (fetched live),Confirmed MTG/Pokemon/anime-TCG/board-game store. No sports cards.
Industrial Park Games Ltd.,Edmonton,"7339 42 St NW, Edmonton, AB T6B 2T1",+1 780-405-7567,http://www.industrialparkgames.com/,B,EXCLUDE,high,http://www.industrialparkgames.com/ (fetched live),Confirmed board games / TCG store ('Build - Paint - Play'). No sports cards.
Red Claw Gaming,Edmonton,"13552 Fort Rd NW, Edmonton, AB T5A 1C5",(780) 757-7655,https://www.redclawgaming.com/,B,EXCLUDE,high,https://www.redclawgaming.com/ (fetched live),Confirmed Games Workshop / Magic / Pokemon / Lorcana tabletop store. No dedicated sports-card category.
Star Lotus Games,Edmonton,"10441 123 St NW #102, Edmonton, AB T5N 1N8",(780) 488-3188,https://www.facebook.com/starlotusgamesinc/,B,UNVERIFIED,low,Facebook only,"Facebook-only presence, cannot independently verify."
Vintage Games N Junque Edmonton,Edmonton,"10422 82 Ave NW, Edmonton, AB T6E 2A2",(825) 967-0069,https://vgnj.ca/,B,UNVERIFIED,low,site redirects to Facebook,"Site now redirects straight to Facebook -- cannot pull independent content. Name suggests retro video games / junk-shop resale, not specifically sports cards. Needs a human look."
Warp 2 Comics & Games,Edmonton,"12863 97 St NW, Edmonton, AB T5E 4C2",+1 780-478-7767,http://www.warpcomics.com/,B,EXCLUDE,high,http://www.warpcomics.com/ (fetched live),"Confirmed comics/TCG chain (Warp Comics, 3 Edmonton locations) -- MTG/Yu-Gi-Oh/HeroClix events, no sports cards mentioned."
Warp 3 Comics & Games,Edmonton,"2331 66 St NW Unit 329, Edmonton, AB T6K 4B5",(780) 462-5767,http://www.warpcomics.com/,B,EXCLUDE,high,http://www.warpcomics.com/ (fetched live),Same chain and evidence as Warp 2 above -- no sports cards.
Cosmic Radiance Gaming,Gibbons,"4724 50 Ave, Gibbons, AB T0A 0A7",+1 780-578-4441,https://cosmicradiancegaming.crystalcommerce.com/,B,EXCLUDE,high,https://cosmicradiancegaming.crystalcommerce.com/ (fetched live),Confirmed MTG/Pokemon/Lorcana/One Piece TCG-only storefront. No sports cards.
Comic Traders,Heritage Pointe,"412 Pine Creek Rd Unit 360, Heritage Pointe, AB T1S 4J9",+1 403-796-3383,http://www.comictraders.ca/,B,EXCLUDE,high,"https://pullbox.ca/ (site rebranded, fetched live)","Site now rebrands as 'Pullbox' -- 'Canada's best source for comics and collectibles.' Comics-only, no sports cards."
dreamESCAPE Gaming Inc.,Leduc,"5205 50th Ave #6, Leduc, AB T9E 6T2",+1 780-986-2882,http://www.dreamescapegaming.com/,B,EXCLUDE,high,http://www.dreamescapegaming.com/ (fetched live),"Confirmed escape-room / TCG (MTG, Union Arena, D&D, Warhammer) business. No sports cards."
Treasure Chest Games,Lethbridge,"24 Mt Burke Blvd W #20, Lethbridge, AB T1K 7X9",(403) 320-6055,https://www.treasure-chest.ca/,B,EXCLUDE,high,https://www.treasure-chest.ca/ (fetched live),Confirmed MTG/Union Arena/D&D/Warhammer tabletop store. No sports cards.
Warhammer,Red Deer,"2004 50 Ave #165, Red Deer, AB T4R 3A2",+1 587-443-9903,,B,EXCLUDE,high,business name itself (Games Workshop brand store),"A branded Games Workshop 'Warhammer' store -- miniatures only by definition, not a card shop."
Mastermind Toys,St. Albert,"398 St Albert Trl #110, St. Albert, AB T8N 5J9",(780) 459-1213,,B,EXCLUDE,high,"known national toy-chain, not card-specific",Mastermind Toys is a general Canadian toy chain. Not a dedicated card retailer -- doesn't belong in a specialized sports-card directory even though it may stock the occasional blaster box.
Stony Plain Games & Collectables Inc,Stony Plain,"5101 50 St, Stony Plain, AB T7Z 1T5",+1 780-968-5666,http://spgac.net/,B,EXCLUDE,high,http://spgac.net/ (fetched live),Confirmed collectable card games / MTG / RPG / wargames / puzzles / vintage-console store. No sports cards mentioned.
Forge Wargaming,Sylvan Lake,"4 Cuendet Ind. Wy Bay 6, Sylvan Lake, AB T4S 2J7",,http://www.facebook.com/ForgeWargaming,B,EXCLUDE,medium,business name + Facebook only,"Name is unambiguous -- tabletop miniatures wargaming, not trading cards. Facebook-only so not independently confirmable in detail, but the category is self-evident from the name."
Collectors valley,Balzac,"260300 Writing Creek Cres, Balzac, AB T4A 0X8",(587) 254-2418,https://collectors-valley.square.site/s/shop,C,UNVERIFIED,low,"https://collectors-valley.square.site/s/shop (fetched live, empty)","Square storefront is JavaScript-rendered -- the scraper tool could not pull any product content. Same New Horizon Mall complex as several already-listed card shops, plausible, but unconfirmed."
First Player,Calgary,"1212 34 Ave SE #120, Calgary, AB T2G 1V7",(825) 513-7529,https://www.firstplayer.ca/,C,EXCLUDE,high,https://www.firstplayer.ca/ (fetched live),"Confirmed MTG/Pokemon/Yu-Gi-Oh/One Piece/Lorcana + video games retailer ('Your Home for Magic the Gathering, Pokemon and Yugioh!'). No sports cards."
The Sentry Box,Calgary,"1835 10 Ave SW, Calgary, AB T3C 0K2",(403) 245-2121,https://www.sentrybox.com/,C,ALREADY-LISTED,medium,https://www.sentrybox.com/ (fetched live) + src/data/stores.json,"Same street address (1835 vs 1835B 10 Ave SW) as the already-listed 'Sentry Box Cards' -- self-described as 'Canada's Largest Game Store,' almost certainly the same business, not a second shop."
ThePokeMrkt,Calgary,"1235 26 Ave SE, Calgary, AB T2G 1R7",,https://thepokemrkt.square.site/,C,EXCLUDE,high,https://thepokemrkt.square.site/ (fetched live),"Confirmed Pokemon-only storefront ('Premium singles, sealed products... for Pokemon, Magic, Yu-Gi-Oh!'). No sports cards."
CollectiVerse,Edmonton,"435 Mistatim Way NW, Edmonton, AB T6V 0M8",(587) 400-7478,https://collectiverse.ca/dl/bccf52,C,UNVERIFIED,low,"https://collectiverse.ca/dl/bccf52 (fetched live, broken)","Site returned only a loading error, no content. Cannot confirm or deny card evidence."
Collection Junction,Edmonton,"8103 127 Ave NW, Edmonton, AB T5C 1R9",+1 780-478-0298,,C,UNVERIFIED,low,"no website, no independent source found",No website and no corroborating source found. Needs a human check.
Downstairs Cellar,Edmonton,"10824 82 Ave NW Basement, Edmonton, AB T6E 2B3",(587) 322-1113,http://downstairscellar.ca/,C,EXCLUDE,high,http://downstairscellar.ca/ (fetched live),Confirmed Pokemon/Magic/Yu-Gi-Oh TCG-only storefront. No sports cards.
Edmonton Coin and Stamp,Edmonton,"8882 170 St NW #1388, Edmonton, AB T5T 3J7",+1 780-444-1156,http://www.edmontoncomics.com/,C,ALREADY-LISTED,medium,http://www.edmontoncomics.com/ (fetched live) -- 'a proud part of West Edmonton Coin & Stamp',"Same phone number as 'West Edmonton Coin & Stamp' (also in this list, adjacent unit #1390 of the same mall) and the site explicitly says it's part of that business. One shop, not two -- see West Edmonton Coin & Stamp verdict below."
Renturly,Edmonton,"14428 130 St NW, Edmonton, AB T6V 1E2",+1 587-501-9972,https://accesstheflock-io.myshopify.com/products/umbreon-130-reverse-holo,C,UNVERIFIED,low,"listed website is a single Shopify product page, not a storefront","Website given is one product listing on someone else's Shopify store ('accesstheflock-io'), not an independent business site -- looks more like an individual reseller than a shop. Needs a human check before treating as a real walk-in business."
Silver Cove Edmonton,Edmonton,"6930 104 Street NW, Edmonton, AB T6H 2L7",+1 780-761-2040,http://www.silvercove.net/,C,EXCLUDE,high,http://www.silvercove.net/ (fetched live),Confirmed gemstone / mineral / fossil / jewelry shop ('The Heartbeat of Canada's Mineral Industry'). No cards of any kind -- clear directory miscategorisation.
The Time Vault,Edmonton,"12227 66 St NW, Edmonton, AB T5B 1K1",(780) 200-3567,http://www.thetimevault.ca/,C,EXCLUDE,high,http://www.thetimevault.ca/ (fetched live),Confirmed Yu-Gi-Oh/Magic/Pokemon/Digimon TCG-only storefront with organized tournaments. No sports cards.
West Edmonton Coin & Stamp,Edmonton,"8882 170 St NW #1390, Edmonton, AB T5T 4V4",+1 780-444-1156,http://www.westedmontoncoinandstamp.com/,C,INCLUDE,high,http://www.westedmontoncoinandstamp.com/ (fetched live),Confirmed dedicated 'Sports Cards' and 'Hockey Pucks Auto' categories under a 'Sports Collectibles' section. Genuinely missing from the directory.
Rare Gems Edson,Edson,"306 50 St, Edson, AB T7E 1N7",+1 587-817-2681,https://www.facebook.com/p/Rare-gems-Edson-61572938927206/,C,UNVERIFIED,low,Facebook only,"Facebook-only presence, cannot independently verify."
Amazing Wonders Emporium,Lacombe,"5230 45 St #17, Lacombe, AB T4L 2A1",+1 403-782-6070,https://www.amazingwondersemporium.ca/,C,UNVERIFIED,low,site fetch failed twice (connection closed),Could not load the site to check content after two attempts. Needs a retry or a human check.
The Northern Citadel,Lethbridge,"24 Mt Burke Blvd W, Lethbridge, AB T1K 7X9",(403) 929-5288,https://thenortherncitadel.ca/,C,EXCLUDE,high,https://thenortherncitadel.ca/ (fetched live),"Confirmed Warhammer 40K / Age of Sigmar miniatures-only retailer. No sports cards. (Shares a building with the already-verified Treasure Chest Games at the same Mt Burke Blvd address, different unit.)"
First Edition Foundry Inc.,Medicine Hat,"66b 8 St NW, Medicine Hat, AB T1A 6P1",(403) 581-4816,https://www.firsteditionfoundry.com/,C,EXCLUDE,high,https://www.firsteditionfoundry.com/ (fetched live),"Confirmed 'trading cards, board games, collectibles' with an event schedule of Pokemon/Yu-Gi-Oh/Magic/One Piece/Gundam/Warhammer only. No sports card events or categories."
Rotty's Creations,Red Deer,"4747 67 St #444, Red Deer, AB T4N 6H3",+1 403-373-1842,https://rottyscreations.com/,C,EXCLUDE,high,https://rottyscreations.com/ (fetched live),Confirmed Pokemon/Yu-Gi-Oh TCG + Funko/leathercraft shop. No sports cards.
Da Pop-up Shop StAlbert,St. Albert,"375 St Albert Trl #185, St. Albert, AB T8N 3K8",+1 647-768-3808,,C,UNVERIFIED,low,"no website, no independent source found","No website, no corroborating source found anywhere. Needs a human check."
Ivy Nook,Stettler,"4824 50 St, Stettler, AB T4H 1E4",,https://www.facebook.com/profile.php?id=61551452412281&mibextid=ZbWKwL,C,UNVERIFIED,low,Facebook only,"Facebook-only presence, cannot independently verify."
The Mystic Alien,Sundre,"708 Main Ave W Bay 3 and 4, Sundre, AB T0M 1X0",+1 403-586-2774,https://themysticalien.ca/,C,EXCLUDE,high,https://themysticalien.ca/ (fetched live),Confirmed 'Pokemon - Magic the Gathering - Yu-Gi-Oh and used games' shop. No sports cards.
